file	name	form	trigger	field	calls	writes	reads	fetches	integrations	hash
functions/add_missing_rate_to_uniform_branches.dg	add_missing_rate_to_uniform_branches		function					Partner_Locations;Partner_Rates;Partners		dcd91f5d
functions/backfill_assignment_ids.dg	backfill_assignment_ids		function		mint_assignment_id			Assignments	AppFunc	1617e3ab
functions/backfill_contact_name_title.dg	backfill_contact_name_title		function					Partner_Referral_Contacts		c3a7d185
functions/backfill_current_rate.dg	backfill_current_rate		function		set_current_rate			Partner_Rates	AppFunc	3c123aeb
functions/backfill_dm_full_names.dg	backfill_dm_full_names		function					Referrals_Main		4ba1575e
functions/backfill_employee_ids.dg	backfill_employee_ids		function		mint_employee_id			Employees	AppFunc	ddc367a0
functions/backfill_employee_phone_format.dg	backfill_employee_phone_format		function					Employees		3acc5496
functions/backfill_location_ids.dg	backfill_location_ids		function		mint_location_id			Partner_Locations	AppFunc	1e73ebdd
functions/backfill_location_labels.dg	backfill_location_labels		function					Partner_Locations		30201d68
functions/backfill_partner_ids.dg	backfill_partner_ids		function		mint_partner_id			Partners	AppFunc	a9e05dea
functions/backfill_partner_poc_name_title.dg	backfill_partner_poc_name_title		function		set_partner_poc_name_title			Referrals_Main	AppFunc	d7999d8d
functions/backfill_patient_full_addresses.dg	backfill_patient_full_addresses		function					Referrals_Main		35d96835
functions/backfill_patient_full_names.dg	backfill_patient_full_names		function		set_patient_full_name			Referrals_Main	AppFunc	88b3340b
functions/backfill_pvs_address_from_referral.dg	backfill_pvs_address_from_referral		function					Encounter_PatientVisit;Referrals_Main		a4af1d0b
functions/backfill_pvs_billing_branch.dg	backfill_pvs_billing_branch		function					Encounter_PatientVisit;Partner_Locations;Referrals_Main		fb8577b7
functions/backfill_pvs_complexity_charge.dg	backfill_pvs_complexity_charge		function					Encounter_PatientVisit;Partner_Locations;Partner_Rates		2bfc211b
functions/backfill_pvs_employee_email.dg	backfill_pvs_employee_email		function					Employees;Encounter_PatientVisit		9cde0263
functions/backfill_pvs_employee_initials.dg	backfill_pvs_employee_initials		function					Employees;Encounter_PatientVisit		fca4bb2a
functions/backfill_pvs_from_referral.dg	backfill_pvs_from_referral		function					Encounter_PatientVisit;Referrals_Main		c7ba55f1
